location,sqft,bedrooms,bathrooms,bhk,price
Mumbai,1200,2,2,2,9500000
Delhi,1500,3,2,3,7200000
Bangalore,1100,2,1,2,6800000
Chennai,1300,3,2,3,5500000
Hyderabad,1400,3,2,3,6200000
Pune,1000,2,1,2,4800000
Mumbai,2000,4,3,4,18000000
Delhi,2200,4,3,4,14500000
Bangalore,1800,3,2,3,11000000
Chennai,1600,3,2,3,7500000
Hyderabad,2100,4,3,4,9800000
Pune,1700,3,2,3,7800000
Mumbai,800,1,1,1,6000000
Delhi,900,1,1,1,4500000
Bangalore,750,1,1,1,4200000
Chennai,850,2,1,2,3800000
Hyderabad,950,2,1,2,4000000
Pune,700,1,1,1,2800000
Mumbai,3000,5,4,5,28000000
Delhi,3500,5,4,5,24000000
Bangalore,2800,5,3,5,20000000
Chennai,2600,4,3,4,13000000
Hyderabad,3200,5,4,5,16500000
Pune,2500,4,3,4,12000000
Mumbai,1600,3,2,3,13000000
Delhi,1800,3,2,3,9500000
Bangalore,1500,3,2,3,9200000
Chennai,1400,2,2,2,6200000
Hyderabad,1600,3,2,3,7400000
Pune,1300,2,2,2,5900000
Mumbai,2500,4,3,4,22000000
Delhi,2800,4,3,4,18500000
Bangalore,2400,4,3,4,15500000
Chennai,2200,4,2,4,10500000
Hyderabad,2700,4,3,4,13200000
Pune,2100,4,2,4,9800000
Mumbai,600,1,1,1,4800000
Delhi,700,1,1,1,3600000
Bangalore,650,1,1,1,3500000
Chennai,600,1,1,1,2900000
Hyderabad,700,1,1,1,3200000
Pune,550,1,1,1,2200000
Mumbai,4000,6,5,6,42000000
Delhi,4500,6,5,6,35000000
Bangalore,3800,6,4,6,28000000
Chennai,3500,5,4,5,18000000
Hyderabad,4200,6,5,6,23000000
Pune,3200,5,4,5,16000000
Mumbai,1100,2,1,2,8200000
Delhi,1200,2,1,2,5800000
Bangalore,1000,2,1,2,5600000
Chennai,1100,2,1,2,4600000
Hyderabad,1200,2,1,2,5200000
Pune,900,2,1,2,3900000
Mumbai,1900,3,2,3,15500000
Delhi,2000,3,3,3,11500000
Bangalore,1700,3,2,3,10500000
Chennai,1800,3,2,3,8200000
Hyderabad,1900,3,2,3,9000000
Pune,1500,3,2,3,6800000
Mumbai,500,1,1,1,4200000
Delhi,550,1,1,1,3100000
Bangalore,500,1,1,1,3000000
Chennai,500,1,1,1,2500000
Hyderabad,550,1,1,1,2800000
Pune,450,1,1,1,1900000
Mumbai,2300,4,3,4,19500000
Delhi,2500,4,3,4,15800000
Bangalore,2100,4,3,4,13500000
Chennai,1900,3,2,3,9200000
Hyderabad,2400,4,3,4,11800000
Pune,1800,3,2,3,8500000
Mumbai,3500,5,4,5,33000000
Delhi,3800,5,4,5,27500000
Bangalore,3200,5,4,5,23500000
Chennai,3000,5,3,5,15800000
Hyderabad,3600,5,4,5,19500000
Pune,2800,5,3,5,13500000
Mumbai,1700,3,2,3,14000000
Delhi,1900,3,2,3,10200000
Bangalore,1600,3,2,3,10000000
Chennai,1500,3,2,3,6800000
Hyderabad,1700,3,2,3,8000000
Pune,1400,3,2,3,6200000
Mumbai,900,2,1,2,7200000
Delhi,1000,2,1,2,5000000
Bangalore,850,2,1,2,4900000
Chennai,950,2,1,2,3900000
Hyderabad,1000,2,1,2,4300000
Pune,800,2,1,2,3200000
Mumbai,2800,4,4,4,25000000
Delhi,3000,4,4,4,20000000
Bangalore,2600,4,3,4,18000000
Chennai,2400,4,3,4,12000000
Hyderabad,2900,4,4,4,15000000
Pune,2300,4,3,4,11000000
Mumbai,1400,2,2,2,11000000
Delhi,1600,2,2,2,8000000
Bangalore,1300,2,2,2,7800000
Chennai,1200,2,2,2,5300000
Hyderabad,1400,2,2,2,6400000
Pune,1100,2,2,2,5000000
